NAICS_SECTOR,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
-,2,1,  30.7%,  0.28%
-,2,2,  44.4%,  0.34%
-,2,3,  18.2%,  0.34%
-,2,4,   5.1%,  0.17%
-,2,5,   1.6%,  0.14%
-,3,1,   6.6%,  0.17%
-,3,2,   2.7%,  0.12%
-,3,3,   3.9%,  0.21%
-,3,4,  10.7%,  0.19%
-,3,5,  20.2%,  0.25%
-,3,6,  18.9%,  0.19%
-,3,7,   9.6%,  0.19%
-,3,8,  10.8%,  0.19%
-,3,9,   9.7%,  0.18%
-,3,10,   6.9%,  0.13%
-,4,1,   5.7%,  0.15%
-,4,2,  38.5%,  0.35%
-,4,3,  55.7%,  0.39%
-,5,1,   0.4%,  0.05%
-,5,2,   3.7%,  0.15%
-,5,3,   1.4%,  0.09%
-,5,4,  94.5%,  0.21%
-,6,1,   4.1%,  0.10%
-,6,2,  12.6%,  0.27%
-,6,3,  83.3%,  0.28%
-,7,1,   2.4%,  0.07%
-,7,2,  43.5%,  0.34%
-,7,3,  54.1%,  0.38%
-,8,1,   4.3%,  0.14%
-,8,2,  21.3%,  0.40%
-,8,3,  74.3%,  0.46%
-,9,1,   4.8%,  0.11%
-,9,2,   3.3%,  0.16%
-,9,3,  39.4%,  0.44%
-,9,4,  52.5%,  0.40%
-,10,1,  27.4%,  0.24%
-,10,2,   9.2%,  0.20%
-,10,3,  11.5%,  0.19%
-,10,4,   3.5%,  0.09%
-,10,5,   8.8%,  0.16%
-,10,6,  17.5%,  0.33%
-,10,7,  64.5%,  0.33%
-,11,1,   6.0%,  0.13%
-,11,2,  13.7%,  0.19%
-,11,3,   3.2%,  0.12%
-,11,4,  10.6%,  0.22%
-,11,5,  18.7%,  0.29%
-,11,6,   5.3%,  0.19%
-,11,7,  11.7%,  0.27%
-,11,8,  62.2%,  0.36%
-,12,1,   1.4%,  0.07%
-,12,2,   5.8%,  0.13%
-,12,3,  40.8%,  0.32%
-,12,4,  34.0%,  0.27%
-,12,5,  18.1%,  0.31%
-,13,1,   5.8%,  0.11%
-,13,2,   9.2%,  0.12%
-,13,3,  15.6%,  0.28%
-,13,4,  25.9%,  0.20%
-,13,5,  24.4%,  0.32%
-,13,6,   4.6%,  0.14%
-,13,7,  14.5%,  0.23%
-,14,1,   3.3%,  0.12%
-,14,2,  96.7%,  0.12%
-,15,1,  10.0%,  0.18%
-,15,2,  90.0%,  0.18%
-,16,1,  73.8%,  0.33%
-,16,2,  25.9%,  0.17%
-,16,3,  16.3%,  0.28%
-,16,4,   1.0%,  0.06%
-,16,5,   1.3%,  0.08%
-,16,6,   4.4%,  0.12%
-,16,7,   0.7%,  0.05%
-,16,8,   1.8%,  0.11%
-,16,9,   8.2%,  0.17%
-,16,10,   6.6%,  0.25%
-,16,11,  11.8%,  0.25%
-,16,12,   4.6%,  0.14%
-,16,13,   3.5%,  0.13%
-,16,14,  19.0%,  0.28%
-,17,1,  72.7%,  0.32%
-,17,2,  23.2%,  0.18%
-,17,3,  10.3%,  0.24%
-,17,4,   0.4%,  0.03%
-,17,5,   1.2%,  0.05%
-,17,6,   4.0%,  0.10%
-,17,7,   0.5%,  0.03%
-,17,8,   2.4%,  0.08%
-,17,9,  22.5%,  0.26%
-,18,1,  24.5%,  0.36%
-,18,2,  29.6%,  0.31%
-,18,3,  45.9%,  0.35%
-,19,1,  27.9%,  0.43%
-,19,2,  12.3%,  0.25%
-,19,3,  13.0%,  0.17%
-,19,4,  31.9%,  0.29%
-,19,5,  14.2%,  0.31%
-,19,6,  22.1%,  0.21%
-,19,7,   5.5%,  0.17%
-,19,8,  35.7%,  0.42%
-,20,1,   0.5%,  0.05%
-,20,2,   3.3%,  0.20%
-,20,3,  16.0%,  0.23%
-,20,4,  45.9%,  0.49%
-,20,5,   7.3%,  0.20%
-,20,6,   1.8%,  0.07%
-,20,7,  16.8%,  0.42%
-,20,8,   8.4%,  0.22%
21 ,2,1,  43.3%,  6.08%
21 ,2,2,  34.9%,  5.43%
21 ,2,3,  19.3%,  3.54%
21 ,2,4,   1.8%,  0.97%
21 ,3,1,  12.9%,  2.96%
21 ,3,2,   3.7%,  1.19%
21 ,3,3,   2.2%,  1.14%
21 ,3,4,   9.7%,  2.41%
21 ,3,5,  19.2%,  3.32%
21 ,3,6,  20.0%,  4.09%
21 ,3,7,   6.3%,  1.91%
21 ,3,8,  11.6%,  2.56%
21 ,3,9,   9.1%,  2.41%
21 ,3,10,   5.5%,  3.16%
21 ,4,1,   3.4%,  2.11%
21 ,4,2,  26.1%,  4.68%
21 ,4,3,  70.5%,  4.17%
21 ,5,3,   3.4%,  1.52%
21 ,5,4,  95.1%,  2.33%
21 ,6,1,   3.7%,  1.54%
21 ,6,2,   6.5%,  1.92%
21 ,6,3,  89.7%,  2.70%
21 ,7,1,   2.4%,  1.15%
21 ,7,2,  38.7%,  2.53%
21 ,7,3,  58.9%,  2.78%
21 ,8,1,   2.5%,  1.28%
21 ,8,2,  12.2%,  3.79%
21 ,8,3,  85.3%,  3.24%
21 ,9,1,   2.7%,  2.16%
21 ,9,2,   2.3%,  1.62%
21 ,9,3,  35.7%,  4.05%
21 ,9,4,  59.3%,  4.10%
21 ,10,1,   8.0%,  3.17%
21 ,10,3,   3.8%,  1.80%
21 ,10,5,   5.0%,  2.44%
21 ,10,6,   3.8%,  1.89%
21 ,10,7,  85.7%,  4.96%
21 ,11,1,   3.5%,  1.59%
21 ,11,2,   8.5%,  1.79%
21 ,11,4,   3.0%,  1.61%
21 ,11,5,   2.4%,  0.93%
21 ,11,7,   6.6%,  2.18%
21 ,11,8,  82.5%,  2.69%
21 ,12,3,  44.1%,  5.53%
21 ,12,4,  31.0%,  3.57%
21 ,12,5,  23.3%,  2.73%
21 ,13,1,   6.1%,  2.61%
21 ,13,2,   5.9%,  2.65%
21 ,13,3,  13.6%,  3.87%
21 ,13,4,  17.2%,  3.25%
21 ,13,5,  33.5%,  4.77%
21 ,13,6,   6.8%,  2.28%
21 ,13,7,  17.0%,  2.96%
21 ,14,1,   5.6%,  2.06%
21 ,14,2,  94.4%,  2.06%
21 ,15,1,  11.4%,  2.12%
21 ,15,2,  88.6%,  2.12%
21 ,16,1,  72.7%,  4.56%
21 ,16,2,  10.8%,  3.42%
21 ,16,3,   8.8%,  3.96%
21 ,16,4,   3.0%,  1.16%
21 ,16,5,   3.6%,  1.75%
21 ,16,6,   3.4%,  1.59%
21 ,16,9,   2.7%,  1.31%
21 ,16,10,   7.1%,  2.06%
21 ,16,11,   9.8%,  1.76%
21 ,16,12,   4.5%,  1.92%
21 ,16,13,   4.7%,  2.75%
21 ,16,14,  22.7%,  3.63%
21 ,17,1,  72.7%,  4.48%
21 ,17,2,   8.3%,  3.07%
21 ,17,3,   2.5%,  1.30%
21 ,17,5,   2.0%,  1.09%
21 ,17,6,   3.3%,  1.55%
21 ,17,9,  25.7%,  4.06%
21 ,18,1,   2.1%,  1.63%
21 ,18,2,  27.8%,  3.85%
21 ,18,3,  70.1%,  3.43%
21 ,19,1,  27.1%,  3.31%
21 ,19,2,   5.1%,  0.99%
21 ,19,4,  18.0%,  3.83%
21 ,19,5,   5.1%,  1.66%
21 ,19,6,   8.4%,  2.22%
21 ,19,7,  11.1%,  3.40%
21 ,19,8,  49.5%,  4.94%
21 ,20,2,   2.1%,  1.05%
21 ,20,3,  10.1%,  1.58%
21 ,20,4,  50.7%,  3.78%
21 ,20,5,   8.6%,  1.89%
21 ,20,6,   5.4%,  2.17%
21 ,20,7,  16.4%,  1.74%
21 ,20,8,   6.6%,  2.99%
22 ,2,1,   6.3%,  2.96%
22 ,2,2,  40.7%,  5.55%
22 ,2,3,  51.5%,  6.08%
22 ,3,4,  12.8%,  3.79%
22 ,3,5,  21.2%,  5.92%
22 ,3,6,  22.0%,  8.64%
22 ,3,7,   8.3%,  3.01%
22 ,3,8,   4.3%,  2.30%
22 ,3,9,  21.5%,  3.99%
22 ,3,10,   5.9%,  1.99%
22 ,4,2,  12.7%,  4.70%
22 ,4,3,  87.3%,  4.70%
22 ,5,4,  99.2%,  0.75%
22 ,6,3,  97.5%,  1.66%
22 ,7,2,  17.9%,  4.40%
22 ,7,3,  82.1%,  4.40%
22 ,8,2,   4.1%,  1.98%
22 ,8,3,  94.1%,  2.47%
22 ,9,1,   9.9%,  3.65%
22 ,9,3,  48.5%,  5.60%
22 ,9,4,  41.6%,  6.78%
22 ,10,1,  23.4%,  8.78%
22 ,10,3,   4.9%,  2.44%
22 ,10,6,   8.0%,  3.50%
22 ,10,7,  73.8%,  8.31%
22 ,11,2,   9.3%,  3.61%
22 ,11,3,   3.2%,  1.20%
22 ,11,4,  12.5%,  4.13%
22 ,11,5,  11.3%,  4.45%
22 ,11,7,   7.5%,  2.37%
22 ,11,8,  76.9%,  6.42%
22 ,12,3,  84.8%,  2.93%
22 ,12,4,  15.2%,  2.93%
22 ,13,2,   6.3%,  2.87%
22 ,13,3,   9.8%,  2.94%
22 ,13,4,  17.8%,  5.08%
22 ,13,5,  48.8%,  6.92%
22 ,13,7,  16.0%,  2.76%
22 ,14,2, 100.0%,  0.00%
22 ,15,2, 100.0%,  0.00%
22 ,16,1,  40.9%,  6.27%
22 ,16,3,   7.3%,  2.84%
22 ,16,6,   9.2%,  2.49%
22 ,16,14,  50.3%,  5.69%
22 ,17,1,  37.9%,  6.48%
22 ,17,3,   5.5%,  2.97%
22 ,17,6,   6.9%,  2.47%
22 ,17,9,  57.3%,  6.57%
22 ,18,1,  14.1%,  3.95%
22 ,18,2,  32.3%,  5.65%
22 ,18,3,  53.6%,  6.26%
22 ,19,1,   7.1%,  3.10%
22 ,19,2,   8.7%,  3.58%
22 ,19,4,   8.4%,  3.43%
22 ,19,5,  11.4%,  8.50%
22 ,19,6,  13.7%,  3.38%
22 ,19,8,  71.5%,  8.00%
